FeatureCode,DateCode,Measurement,Units,Value,Residential Status
S12000042,2017,Count,Children,109,At Home
S12000020,2012,Count,Children,33,Residential Care
S12000020,2015,Count,Children,29,Residential Care
S12000042,2016,Count,Children,57,Residential Care
S12000020,2017,Count,Children,38,Residential Care
S12000020,2018,Count,Children,222,All
S12000020,2014,Count,Children,46,At Home
S12000020,2009,Count,Children,55,At Home
S12000020,2017,Count,Children,215,All
S12000020,2015,Count,Children,95,Foster / Prospective Adopters
S12000020,2010,Count,Children,60,At Home
S12000020,2016,Count,Children,213,All
S12000020,2010,Count,Children,192,All
S12000041,2014,Count,Children,16,Residential Care
S12000020,2018,Count,Children,47,At Home
S12000021,2014,Count,Children,161,Foster / Prospective Adopters
S12000021,2016,Count,Children,59,Residential Care
S12000020,2012,Count,Children,91,Foster / Prospective Adopters
S12000041,2015,Count,Children,14,Residential Care
S12000020,2014,Count,Children,99,Foster / Prospective Adopters
S12000021,2014,Count,Children,171,Other Community Placement
S12000041,2016,Count,Children,238,All
S12000041,2013,Count,Children,17,Residential Care
S12000021,2014,Count,Children,51,Residential Care
S12000021,2018,Count,Children,149,Other Community Placement
S12000041,2011,Count,Children,16,Residential Care
S12000041,2018,Count,Children,21,Residential Care
S12000042,2015,Count,Children,136,At Home
S12000020,2011,Count,Children,82,Foster / Prospective Adopters
S12000020,2013,Count,Children,66,At Home
S12000020,2013,Count,Children,40,Other Community Placement
S12000020,2011,Count,Children,207,All
S12000020,2015,Count,Children,48,At Home
S12000042,2011,Count,Children,44,Residential Care
S12000041,2014,Count,Children,35,Other Community Placement
S12000020,2009,Count,Children,69,Foster / Prospective Adopters
S12000020,2017,Count,Children,96,Foster / Prospective Adopters
S12000020,2013,Count,Children,221,All
S12000020,2010,Count,Children,68,Foster / Prospective Adopters
S12000020,2013,Count,Children,82,Foster / Prospective Adopters
S12000042,2015,Count,Children,585,All
S12000041,2018,Count,Children,63,Other Community Placement
S12000026,2012,Count,Children,194,All
S12000026,2011,Count,Children,108,Foster / Prospective Adopters
S12000026,2015,Count,Children,51,Other Community Placement
S12000041,2016,Count,Children,36,Other Community Placement
S12000041,2011,Count,Children,48,Other Community Placement
S12000026,2011,Count,Children,40,Other Community Placement
S12000026,2009,Count,Children,25,Other Community Placement
S12000026,2010,Count,Children,216,All
S12000026,2018,Count,Children,26,Residential Care
S12000038,2015,Count,Children,234,Foster / Prospective Adopters
S12000026,2013,Count,Children,21,Residential Care
S12000026,2011,Count,Children,208,All
S12000026,2010,Count,Children,39,Other Community Placement
S12000023,2012,Count,Children,6,Residential Care
S12000023,2018,Count,Children,12,At Home
S12000023,2011,Count,Children,18,All
S12000023,2009,Count,Children,31,All
S12000041,2018,Count,Children,251,All
S12000023,2014,Count,Children,39,All
S12000023,2018,Count,Children,8,Foster / Prospective Adopters
S12000026,2015,Count,Children,34,Residential Care
S12000026,2018,Count,Children,48,Other Community Placement
S12000026,2011,Count,Children,44,At Home
S12000026,2010,Count,Children,94,Foster / Prospective Adopters
S12000041,2015,Count,Children,37,Other Community Placement
S12000023,2015,Count,Children,34,All
S12000023,2010,Count,Children,36,All
S12000026,2009,Count,Children,89,Foster / Prospective Adopters
S12000026,2014,Count,Children,16,At Home
S12000026,2017,Count,Children,97,Foster / Prospective Adopters
S12000026,2016,Count,Children,103,Foster / Prospective Adopters
S12000026,2011,Count,Children,16,Residential Care
S12000038,2013,Count,Children,247,At Home
S12000026,2010,Count,Children,62,At Home
S12000026,2018,Count,Children,74,Foster / Prospective Adopters
S12000026,2013,Count,Children,33,Other Community Placement
S12000026,2017,Count,Children,228,All
S12000026,2016,Count,Children,27,At Home
S12000038,2009,Count,Children,718,All
S12000026,2012,Count,Children,104,Foster / Prospective Adopters
S12000026,2014,Count,Children,179,All
S12000026,2015,Count,Children,92,Foster / Prospective Adopters
S12000038,2014,Count,Children,60,Residential Care
S12000026,2009,Count,Children,61,At Home
S12000038,2014,Count,Children,231,At Home
S12000026,2018,Count,Children,205,All
S12000026,2012,Count,Children,34,At Home
S12000026,2018,Count,Children,57,At Home
S12000038,2017,Count,Children,179,Other Community Placement
S12000026,2009,Count,Children,193,All
S12000026,2013,Count,Children,37,At Home
S12000038,2009,Count,Children,143,Other Community Placement
S12000038,2013,Count,Children,779,All
S12000038,2010,Count,Children,790,All
S12000026,2013,Count,Children,93,Foster / Prospective Adopters
S12000023,2009,Count,Children,20,At Home
S12000023,2014,Count,Children,7,Other Community Placement
S12000023,2015,Count,Children,9,Foster / Prospective Adopters
S12000041,2018,Count,Children,102,Foster / Prospective Adopters
S12000023,2013,Count,Children,9,At Home
S12000023,2014,Count,Children,9,Foster / Prospective Adopters
S12000023,2014,Count,Children,13,Residential Care
S12000041,2012,Count,Children,258,All
S12000041,2009,Count,Children,136,Foster / Prospective Adopters
S12000041,2011,Count,Children,134,Foster / Prospective Adopters
S12000023,2015,Count,Children,8,At Home
S12000041,2013,Count,Children,135,Foster / Prospective Adopters
S12000023,2013,Count,Children,8,Residential Care
S12000041,2014,Count,Children,129,Foster / Prospective Adopters
S12000023,2015,Count,Children,13,Residential Care
S12000021,2011,Count,Children,208,At Home
S12000023,2010,Count,Children,15,At Home
S12000041,2009,Count,Children,71,At Home
S12000021,2015,Count,Children,53,Residential Care
S12000041,2013,Count,Children,32,Other Community Placement
S12000021,2011,Count,Children,189,Other Community Placement
S12000023,2012,Count,Children,9,At Home
S12000041,2010,Count,Children,149,Foster / Prospective Adopters
S12000041,2013,Count,Children,253,All
S12000023,2010,Count,Children,5,Residential Care
S12000041,2017,Count,Children,65,At Home
S12000041,2011,Count,Children,52,At Home
S12000041,2016,Count,Children,73,At Home
S12000023,2016,Count,Children,8,Residential Care
S12000023,2016,Count,Children,28,All
S12000023,2012,Count,Children,5,Foster / Prospective Adopters
S12000041,2017,Count,Children,64,Other Community Placement
S12000023,2017,Count,Children,8,Residential Care
S12000041,2015,Count,Children,261,All
S12000041,2010,Count,Children,56,Other Community Placement
S12000023,2017,Count,Children,12,Foster / Prospective Adopters
S12000041,2009,Count,Children,38,Other Community Placement
S12000023,2012,Count,Children,26,All
S12000023,2011,Count,Children,9,Foster / Prospective Adopters
S12000023,2016,Count,Children,14,Foster / Prospective Adopters
S12000023,2013,Count,Children,7,Foster / Prospective Adopters
S12000023,2018,Count,Children,6,Residential Care
S12000041,2016,Count,Children,108,Foster / Prospective Adopters
S12000041,2018,Count,Children,65,At Home
S12000023,2018,Count,Children,31,All
S12000023,2010,Count,Children,14,Foster / Prospective Adopters
S12000041,2014,Count,Children,92,At Home
S12000023,2018,Count,Children,5,Other Community Placement
S12000023,2014,Count,Children,10,At Home
S12000023,2017,Count,Children,14,At Home
S12000041,2017,Count,Children,106,Foster / Prospective Adopters
S12000023,2013,Count,Children,27,All
S12000023,2017,Count,Children,38,All
S12000023,2012,Count,Children,6,Other Community Placement
S12000041,2015,Count,Children,118,Foster / Prospective Adopters
S12000041,2012,Count,Children,127,Foster / Prospective Adopters
S12000018,2017,Count,Children,45,Foster / Prospective Adopters
S12000018,2012,Count,Children,63,Other Community Placement
S12000045,2010,Count,Children,31,Other Community Placement
S12000018,2016,Count,Children,44,Foster / Prospective Adopters
S12000018,2012,Count,Children,29,Residential Care
S12000018,2014,Count,Children,30,Residential Care
S12000018,2017,Count,Children,218,All
S12000018,2011,Count,Children,31,Residential Care
S12000018,2011,Count,Children,65,Foster / Prospective Adopters
S12000018,2011,Count,Children,285,All
S12000045,2017,Count,Children,25,Residential Care
S12000018,2011,Count,Children,55,Other Community Placement
S12000018,2012,Count,Children,52,Foster / Prospective Adopters
S12000018,2015,Count,Children,53,Foster / Prospective Adopters
S12000018,2010,Count,Children,148,At Home
S12000045,2016,Count,Children,45,At Home
S12000018,2012,Count,Children,299,All
S12000045,2012,Count,Children,50,Other Community Placement
S12000018,2015,Count,Children,209,All
S12000045,2010,Count,Children,45,At Home
S12000045,2009,Count,Children,45,At Home
S12000045,2009,Count,Children,30,Other Community Placement
S12000045,2014,Count,Children,154,All
S12000018,2018,Count,Children,27,Residential Care
S12000045,2012,Count,Children,58,At Home
S12000018,2013,Count,Children,60,Foster / Prospective Adopters
S12000018,2018,Count,Children,199,All
S12000018,2009,Count,Children,167,At Home
S12000018,2011,Count,Children,134,At Home
S12000018,2014,Count,Children,99,At Home
S12000018,2016,Count,Children,79,At Home
S12000018,2014,Count,Children,52,Other Community Placement
S12000018,2014,Count,Children,56,Foster / Prospective Adopters
S12000042,2017,Count,Children,555,All
S12000042,2009,Count,Children,189,Other Community Placement
S12000018,2010,Count,Children,53,Foster / Prospective Adopters
S12000042,2017,Count,Children,126,Other Community Placement
S12000018,2014,Count,Children,237,All
S12000018,2015,Count,Children,27,Residential Care
S12000018,2013,Count,Children,130,At Home
S12000018,2013,Count,Children,276,All
S12000018,2010,Count,Children,37,Residential Care
S12000018,2016,Count,Children,53,Other Community Placement
S12000018,2009,Count,Children,32,Residential Care
S12000045,2011,Count,Children,25,Residential Care
S12000018,2012,Count,Children,155,At Home
S12000018,2013,Count,Children,27,Residential Care
S12000018,2016,Count,Children,207,All
S12000018,2018,Count,Children,40,Foster / Prospective Adopters
S12000018,2009,Count,Children,54,Other Community Placement
S12000018,2010,Count,Children,55,Other Community Placement
S12000018,2017,Count,Children,86,At Home
S12000018,2018,Count,Children,46,Other Community Placement
S12000045,2016,Count,Children,23,Residential Care
S12000018,2013,Count,Children,59,Other Community Placement
S12000045,2016,Count,Children,40,Foster / Prospective Adopters
S12000045,2011,Count,Children,145,All
S12000017,2014,Count,Children,74,Other Community Placement
S12000045,2018,Count,Children,43,Other Community Placement
S12000017,2011,Count,Children,175,At Home
S12000045,2014,Count,Children,49,At Home
S12000017,2016,Count,Children,159,Foster / Prospective Adopters
S12000017,2016,Count,Children,128,At Home
S12000017,2013,Count,Children,168,Foster / Prospective Adopters
S12000017,2018,Count,Children,173,Foster / Prospective Adopters
S12000017,2010,Count,Children,140,Foster / Prospective Adopters
S12000017,2018,Count,Children,521,All
S12000017,2009,Count,Children,141,Foster / Prospective Adopters
S12000017,2015,Count,Children,80,Residential Care
S12000045,2014,Count,Children,23,Residential Care
S12000017,2017,Count,Children,129,At Home
S12000017,2016,Count,Children,80,Other Community Placement
S12000045,2018,Count,Children,22,Residential Care
S12000017,2012,Count,Children,139,At Home
S12000017,2017,Count,Children,99,Other Community Placement
S12000017,2010,Count,Children,78,Other Community Placement
S12000017,2011,Count,Children,497,All
S12000017,2018,Count,Children,85,Residential Care
S12000017,2017,Count,Children,487,All
S12000017,2014,Count,Children,150,Foster / Prospective Adopters
S12000017,2017,Count,Children,174,Foster / Prospective Adopters
S12000017,2016,Count,Children,440,All
S12000045,2018,Count,Children,28,At Home
S12000045,2015,Count,Children,51,At Home
S12000017,2010,Count,Children,469,All
S12000017,2015,Count,Children,128,At Home
S12000017,2010,Count,Children,77,Residential Care
S12000017,2012,Count,Children,83,Residential Care
S12000045,2013,Count,Children,20,Residential Care
S12000017,2018,Count,Children,110,Other Community Placement
S12000017,2009,Count,Children,165,At Home
S12000017,2014,Count,Children,136,At Home
S12000045,2017,Count,Children,33,At Home
S12000045,2011,Count,Children,46,At Home
S12000017,2014,Count,Children,87,Residential Care
S12000017,2009,Count,Children,456,All
S12000017,2014,Count,Children,447,All
S12000017,2013,Count,Children,126,At Home
S12000017,2011,Count,Children,71,Residential Care
S12000017,2012,Count,Children,193,Foster / Prospective Adopters
S12000017,2016,Count,Children,73,Residential Care
S12000017,2015,Count,Children,157,Foster / Prospective Adopters
S12000045,2013,Count,Children,49,At Home
S12000017,2011,Count,Children,160,Foster / Prospective Adopters
S12000017,2017,Count,Children,85,Residential Care
S12000017,2009,Count,Children,82,Other Community Placement
S12000045,2010,Count,Children,135,All
S12000017,2013,Count,Children,76,Residential Care
S12000017,2009,Count,Children,68,Residential Care
S12000017,2010,Count,Children,174,At Home
S12000017,2012,Count,Children,507,All
S12000045,2009,Count,Children,129,All
S12000019,2012,Count,Children,73,Other Community Placement
S12000042,2015,Count,Children,265,Foster / Prospective Adopters
S12000019,2016,Count,Children,107,Foster / Prospective Adopters
S12000042,2013,Count,Children,696,All
S12000019,2012,Count,Children,276,All
S12000019,2016,Count,Children,250,All
S12000042,2015,Count,Children,47,Residential Care
S12000019,2010,Count,Children,84,Other Community Placement
S12000019,2011,Count,Children,109,Foster / Prospective Adopters
S12000019,2009,Count,Children,118,Other Community Placement
S12000019,2012,Count,Children,103,Foster / Prospective Adopters
S12000019,2014,Count,Children,25,Residential Care
S12000019,2013,Count,Children,26,Residential Care
S12000019,2011,Count,Children,35,Residential Care
S12000042,2017,Count,Children,259,Foster / Prospective Adopters
S12000019,2012,Count,Children,65,At Home
S12000042,2010,Count,Children,47,Residential Care
S12000019,2013,Count,Children,110,At Home
S12000019,2016,Count,Children,41,At Home
S12000019,2014,Count,Children,80,Other Community Placement
S12000019,2017,Count,Children,73,At Home
S12000019,2017,Count,Children,93,Foster / Prospective Adopters
S12000019,2010,Count,Children,106,At Home
S12000019,2017,Count,Children,259,All
S12000019,2015,Count,Children,255,All
S12000019,2014,Count,Children,100,At Home
S12000019,2018,Count,Children,233,All
S12000019,2009,Count,Children,106,At Home
S12000042,2011,Count,Children,199,At Home
S12000042,2016,Count,Children,592,All
S12000020,2015,Count,Children,209,All
S12000020,2009,Count,Children,29,Residential Care
S12000042,2017,Count,Children,61,Residential Care
S12000042,2013,Count,Children,224,Other Community Placement
S12000042,2010,Count,Children,182,At Home
S12000042,2018,Count,Children,519,All
S12000020,2016,Count,Children,35,Residential Care
S12000020,2014,Count,Children,39,Other Community Placement
S12000020,2011,Count,Children,28,Residential Care
S12000042,2012,Count,Children,209,At Home
S12000042,2014,Count,Children,617,All
S12000020,2011,Count,Children,33,Other Community Placement
S12000020,2012,Count,Children,40,Other Community Placement
S12000020,2014,Count,Children,29,Residential Care
S12000042,2009,Count,Children,180,At Home
S12000020,2010,Count,Children,40,Other Community Placement
S12000020,2009,Count,Children,55,Other Community Placement
S12000020,2010,Count,Children,24,Residential Care
S12000020,2013,Count,Children,33,Residential Care
S12000020,2017,Count,Children,43,Other Community Placement
S12000042,2016,Count,Children,126,At Home
S12000042,2014,Count,Children,185,Other Community Placement
S12000020,2018,Count,Children,38,Other Community Placement
S12000020,2016,Count,Children,32,Other Community Placement
S12000020,2015,Count,Children,37,Other Community Placement
S12000042,2012,Count,Children,207,Other Community Placement
S12000042,2018,Count,Children,62,Residential Care
S12000019,2009,Count,Children,38,Residential Care
S12000019,2018,Count,Children,21,Residential Care
S12000042,2013,Count,Children,39,Residential Care
S12000042,2012,Count,Children,46,Residential Care
S12000042,2016,Count,Children,259,Foster / Prospective Adopters
S12000019,2010,Count,Children,28,Residential Care
S12000019,2011,Count,Children,302,All
S12000019,2014,Count,Children,309,All
S12000019,2012,Count,Children,35,Residential Care
S12000019,2014,Count,Children,104,Foster / Prospective Adopters
S12000019,2013,Count,Children,97,Foster / Prospective Adopters
S12000019,2015,Count,Children,103,Foster / Prospective Adopters
S12000019,2015,Count,Children,32,Residential Care
S12000018,2017,Count,Children,60,Other Community Placement
S12000042,2018,Count,Children,109,Other Community Placement
S12000042,2016,Count,Children,150,Other Community Placement
S12000042,2010,Count,Children,204,Other Community Placement
S12000018,2010,Count,Children,293,All
S12000018,2015,Count,Children,51,Other Community Placement
S12000018,2009,Count,Children,318,All
S12000018,2018,Count,Children,86,At Home
S12000018,2009,Count,Children,65,Foster / Prospective Adopters
S12000042,2011,Count,Children,252,Foster / Prospective Adopters
S12000018,2016,Count,Children,31,Residential Care
S12000018,2015,Count,Children,78,At Home
S12000042,2012,Count,Children,261,Foster / Prospective Adopters
S12000018,2017,Count,Children,27,Residential Care
S12000019,2009,Count,Children,91,Foster / Prospective Adopters
S12000019,2009,Count,Children,353,All
S12000042,2013,Count,Children,265,Foster / Prospective Adopters
S12000042,2018,Count,Children,243,Foster / Prospective Adopters
S12000042,2010,Count,Children,204,Foster / Prospective Adopters
S12000042,2009,Count,Children,170,Foster / Prospective Adopters
S12000042,2014,Count,Children,261,Foster / Prospective Adopters
S12000042,2009,Count,Children,48,Residential Care
S12000019,2015,Count,Children,78,Other Community Placement
S12000019,2017,Count,Children,65,Other Community Placement
S12000019,2016,Count,Children,77,Other Community Placement
S12000019,2015,Count,Children,42,At Home
S12000019,2018,Count,Children,54,Other Community Placement
S12000042,2012,Count,Children,723,All
S12000019,2011,Count,Children,67,Other Community Placement
S12000019,2013,Count,Children,64,Other Community Placement
S12000019,2010,Count,Children,97,Foster / Prospective Adopters
S12000019,2016,Count,Children,25,Residential Care
S12000042,2014,Count,Children,138,At Home
S12000019,2013,Count,Children,297,All
S12000019,2018,Count,Children,71,Foster / Prospective Adopters
S12000042,2011,Count,Children,708,All
S12000042,2013,Count,Children,168,At Home
S12000019,2018,Count,Children,87,At Home
S12000019,2011,Count,Children,91,At Home
S12000019,2010,Count,Children,315,All
S12000019,2017,Count,Children,28,Residential Care
S12000042,2014,Count,Children,33,Residential Care
S12000035,2014,Count,Children,175,All
S12000035,2013,Count,Children,23,Residential Care
S12000030,2018,Count,Children,25,Residential Care
S12000030,2016,Count,Children,60,Foster / Prospective Adopters
S12000030,2013,Count,Children,69,Foster / Prospective Adopters
S12000035,2017,Count,Children,175,All
S12000030,2012,Count,Children,58,Other Community Placement
S12000030,2012,Count,Children,251,All
S12000033,2014,Count,Children,62,Residential Care
S12000033,2017,Count,Children,302,Foster / Prospective Adopters
S12000033,2013,Count,Children,55,Residential Care
S12000033,2018,Count,Children,62,Residential Care
S12000035,2012,Count,Children,53,Foster / Prospective Adopters
S12000030,2014,Count,Children,63,Other Community Placement
S12000033,2016,Count,Children,253,Foster / Prospective Adopters
S12000030,2014,Count,Children,67,At Home
S12000030,2010,Count,Children,64,Foster / Prospective Adopters
S12000030,2012,Count,Children,90,At Home
S12000030,2010,Count,Children,100,At Home
S12000036,2017,Count,Children,1349,All
S12000030,2015,Count,Children,33,Residential Care
S12000030,2009,Count,Children,62,Foster / Prospective Adopters
S12000030,2011,Count,Children,113,At Home
S12000036,2014,Count,Children,1415,All
S12000035,2011,Count,Children,30,Residential Care
S12000030,2013,Count,Children,246,All
S12000036,2015,Count,Children,1419,All
S12000030,2017,Count,Children,33,Residential Care
S12000030,2016,Count,Children,39,Residential Care
S12000033,2012,Count,Children,605,All
S12000035,2016,Count,Children,163,All
S12000035,2011,Count,Children,71,At Home
S12000033,2011,Count,Children,150,Other Community Placement
S12000033,2009,Count,Children,701,All
S12000035,2011,Count,Children,51,Foster / Prospective Adopters
S12000033,2010,Count,Children,690,All
S12000033,2013,Count,Children,125,Other Community Placement
S12000035,2010,Count,Children,42,Residential Care
S12000033,2015,Count,Children,549,All
S12000035,2013,Count,Children,53,Other Community Placement
S12000033,2011,Count,Children,206,At Home
S12000033,2012,Count,Children,55,Residential Care
S12000033,2014,Count,Children,577,All
S12000035,2016,Count,Children,20,Residential Care
S12000033,2015,Count,Children,125,At Home
S12000035,2010,Count,Children,49,Foster / Prospective Adopters
S12000035,2017,Count,Children,22,Residential Care
S12000033,2017,Count,Children,108,At Home
S12000033,2018,Count,Children,116,Other Community Placement
S12000033,2016,Count,Children,115,At Home
S12000033,2017,Count,Children,112,Other Community Placement
S12000033,2016,Count,Children,119,Other Community Placement
S12000033,2018,Count,Children,296,Foster / Prospective Adopters
S12000033,2015,Count,Children,60,Residential Care
S12000033,2010,Count,Children,145,Other Community Placement
S12000033,2009,Count,Children,145,Other Community Placement
S12000033,2015,Count,Children,103,Other Community Placement
S12000030,2013,Count,Children,31,Residential Care
S12000030,2017,Count,Children,87,At Home
S12000030,2017,Count,Children,62,Foster / Prospective Adopters
S12000030,2016,Count,Children,65,At Home
S12000030,2009,Count,Children,95,At Home
S12000030,2011,Count,Children,65,Foster / Prospective Adopters
S12000036,2014,Count,Children,91,Residential Care
S12000030,2014,Count,Children,30,Residential Care
S12000030,2011,Count,Children,252,All
S12000030,2013,Count,Children,76,Other Community Placement
S12000036,2018,Count,Children,1309,All
S12000030,2014,Count,Children,233,All
S12000030,2012,Count,Children,72,Foster / Prospective Adopters
S12000036,2014,Count,Children,345,At Home
S12000036,2010,Count,Children,105,Residential Care
S12000029,2010,Count,Children,166,At Home
S12000036,2013,Count,Children,367,At Home
S12000036,2018,Count,Children,106,Residential Care
S12000029,2009,Count,Children,186,At Home
S12000029,2009,Count,Children,490,All
S12000029,2014,Count,Children,71,Residential Care
S12000036,2010,Count,Children,427,At Home
S12000030,2017,Count,Children,245,All
S12000030,2015,Count,Children,64,At Home
S12000036,2010,Count,Children,535,Foster / Prospective Adopters
S12000036,2009,Count,Children,443,At Home
S12000029,2016,Count,Children,227,Foster / Prospective Adopters
S12000030,2011,Count,Children,43,Other Community Placement
S12000030,2015,Count,Children,216,All
S12000036,2012,Count,Children,103,Residential Care
S12000030,2015,Count,Children,53,Other Community Placement
S12000036,2016,Count,Children,1368,All
S12000030,2018,Count,Children,64,Foster / Prospective Adopters
S12000030,2018,Count,Children,236,All
S12000030,2016,Count,Children,52,Other Community Placement
S12000036,2012,Count,Children,1395,All
S12000030,2010,Count,Children,28,Residential Care
S12000036,2013,Count,Children,104,Residential Care
S12000030,2014,Count,Children,73,Foster / Prospective Adopters
S12000030,2009,Count,Children,29,Residential Care
S12000030,2016,Count,Children,216,All
S12000030,2015,Count,Children,66,Foster / Prospective Adopters
S12000030,2009,Count,Children,218,All
S12000030,2010,Count,Children,26,Other Community Placement
S12000030,2011,Count,Children,31,Residential Care
S12000036,2010,Count,Children,1319,All
S12000030,2010,Count,Children,218,All
S12000036,2011,Count,Children,1362,All
S12000030,2018,Count,Children,83,At Home
S12000030,2018,Count,Children,64,Other Community Placement
S12000036,2009,Count,Children,1328,All
S12000036,2013,Count,Children,1402,All
S12000030,2017,Count,Children,63,Other Community Placement
S12000030,2009,Count,Children,32,Other Community Placement
S12000030,2012,Count,Children,31,Residential Care
S12000030,2013,Count,Children,70,At Home
S12000034,2017,Count,Children,80,At Home
S12000035,2014,Count,Children,44,Other Community Placement
S12000034,2014,Count,Children,168,Foster / Prospective Adopters
S12000034,2015,Count,Children,80,Other Community Placement
S12000035,2014,Count,Children,52,At Home
S12000035,2012,Count,Children,57,At Home
S12000034,2015,Count,Children,411,All
S12000034,2017,Count,Children,395,All
S12000034,2011,Count,Children,166,Foster / Prospective Adopters
S12000034,2011,Count,Children,62,Residential Care
S12000034,2013,Count,Children,163,Foster / Prospective Adopters
S12000034,2011,Count,Children,94,Other Community Placement
S12000035,2009,Count,Children,40,Foster / Prospective Adopters
S12000034,2012,Count,Children,92,Other Community Placement
S12000034,2010,Count,Children,84,Other Community Placement
S12000034,2009,Count,Children,104,Other Community Placement
S12000034,2009,Count,Children,458,All
S12000034,2010,Count,Children,496,All
S12000035,2017,Count,Children,52,At Home
S12000034,2015,Count,Children,54,Residential Care
S12000034,2017,Count,Children,70,Other Community Placement
S12000035,2010,Count,Children,95,At Home
S12000034,2010,Count,Children,182,At Home
S12000034,2013,Count,Children,83,Other Community Placement
S12000034,2014,Count,Children,403,All
S12000035,2018,Count,Children,40,At Home
S12000034,2009,Count,Children,128,At Home
S12000034,2011,Count,Children,174,At Home
S12000035,2015,Count,Children,167,All
S12000035,2009,Count,Children,204,All
S12000034,2013,Count,Children,128,At Home
S12000034,2014,Count,Children,112,At Home
S12000035,2011,Count,Children,219,All
S12000034,2011,Count,Children,496,All
S12000035,2009,Count,Children,89,At Home
S12000035,2014,Count,Children,55,Foster / Prospective Adopters
S12000035,2015,Count,Children,22,Residential Care
S12000035,2012,Count,Children,190,All
S12000035,2013,Count,Children,49,Foster / Prospective Adopters
S12000034,2014,Count,Children,73,Other Community Placement
S12000034,2017,Count,Children,55,Residential Care
S12000034,2016,Count,Children,59,Residential Care
S12000034,2014,Count,Children,50,Residential Care
S12000034,2016,Count,Children,178,Foster / Prospective Adopters
S12000034,2018,Count,Children,65,Residential Care
S12000034,2017,Count,Children,190,Foster / Prospective Adopters
S12000034,2009,Count,Children,154,Foster / Prospective Adopters
S12000034,2010,Count,Children,155,Foster / Prospective Adopters
S12000034,2016,Count,Children,411,All
S12000034,2013,Count,Children,51,Residential Care
S12000035,2013,Count,Children,75,At Home
S12000034,2012,Count,Children,143,At Home
S12000034,2018,Count,Children,81,At Home
S12000035,2017,Count,Children,59,Other Community Placement
S12000035,2010,Count,Children,250,All
S12000034,2012,Count,Children,159,Foster / Prospective Adopters
S12000033,2013,Count,Children,257,Foster / Prospective Adopters
S12000035,2017,Count,Children,42,Foster / Prospective Adopters
S12000033,2011,Count,Children,56,Residential Care
